element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,240.98,249.84,173.85,166.56,-3.55,2674.2,constraint,0.4
femur,910.0,1318.63,110.0,166.56,-30.99,2674.2,measured,0.88
femur_right,910.0,1318.63,110.0,166.56,-30.99,2674.2,symmetry,0.836
fibula,780.0,1138.18,38.0,48.58,-31.47,2674.2,measured,0.88
fibula_right,780.0,1138.18,38.0,48.58,-31.47,2674.2,symmetry,0.836
humerus,420.0,763.41,65.0,104.1,-44.98,2674.2,measured,0.88
humerus_right,420.0,763.41,65.0,104.1,-44.98,2674.2,symmetry,0.836
ilium,600.0,902.22,110.0,166.56,-33.5,2674.2,measured,0.88
ilium_right,600.0,902.22,110.0,166.56,-33.5,2674.2,symmetry,0.836
ischium,440.0,666.25,75.0,111.04,-33.96,2674.2,measured,0.88
metacarpal,142.79,180.44,38.71,41.64,-20.87,2674.2,constraint,0.65
metatarsal,360.0,527.45,52.0,69.4,-31.75,2674.2,measured,0.88
phalanx,107.1,111.04,36.22,34.7,-3.55,2674.2,constraint,0.4
pubis,500.0,721.77,65.0,83.28,-30.73,2674.2,measured,0.88
radius,320.0,582.97,38.0,58.3,-45.11,2674.2,measured,0.88
radius_right,320.0,582.97,38.0,58.3,-45.11,2674.2,symmetry,0.836
rib,580.0,832.82,28.0,41.64,-30.36,2674.2,measured,0.88
scapula,490.0,721.77,190.0,277.61,-32.11,2674.2,measured,0.88
scapula_right,490.0,721.77,190.0,277.61,-32.11,2674.2,symmetry,0.836
skull,900.0,1665.63,420.0,694.01,-45.97,2674.2,measured,0.88
tibia,800.0,1165.94,90.0,117.98,-31.39,2674.2,measured,0.88
tibia_right,800.0,1165.94,90.0,117.98,-31.39,2674.2,symmetry,0.836
ulna,340.0,610.73,40.0,62.46,-44.33,2674.2,measured,0.88
ulna_right,340.0,610.73,40.0,62.46,-44.33,2674.2,symmetry,0.836
vertebra,175.0,249.84,105.0,152.68,-29.96,2674.2,measured,0.88
