element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,23.2,14.29,8.88,9.52,62.39,0.5,constraint,0.4
femur,52.0,75.4,4.0,9.52,-31.04,0.5,measured,0.88
femur_right,52.0,75.4,4.0,9.52,-31.04,0.5,symmetry,0.836
fibula,55.0,65.08,1.0,2.78,-15.49,0.5,measured,0.88
fibula_right,55.0,65.08,1.0,2.78,-15.49,0.5,symmetry,0.836
humerus,62.0,43.65,4.0,5.95,42.03,0.5,measured,0.88
humerus_right,62.0,43.65,4.0,5.95,42.03,0.5,symmetry,0.836
ilium,38.0,51.59,6.0,9.52,-26.34,0.5,measured,0.88
ilium_right,38.0,51.59,6.0,9.52,-26.34,0.5,symmetry,0.836
ischium,28.0,38.1,3.0,6.35,-26.5,0.5,measured,0.88
metacarpal,15.98,10.32,2.16,2.38,54.83,0.5,constraint,0.65
metatarsal,42.0,30.16,3.0,3.97,39.25,0.5,measured,0.88
phalanx,18.0,6.35,1.0,1.98,183.48,0.5,measured,0.88
pubis,25.0,41.27,2.0,4.76,-39.43,0.5,measured,0.88
radius,55.0,33.34,3.0,3.33,64.99,0.5,measured,0.88
radius_right,55.0,33.34,3.0,3.33,64.99,0.5,symmetry,0.836
rib,38.0,47.62,2.0,2.38,-20.21,0.5,measured,0.88
scapula,38.0,41.27,10.0,15.87,-7.93,0.5,measured,0.88
scapula_right,38.0,41.27,10.0,15.87,-7.93,0.5,symmetry,0.836
skull,62.0,95.24,32.0,39.69,-34.9,0.5,measured,0.88
tibia,58.0,66.67,3.0,6.75,-13.01,0.5,measured,0.88
tibia_right,58.0,66.67,3.0,6.75,-13.01,0.5,symmetry,0.836
ulna,57.0,34.92,3.0,3.57,63.22,0.5,measured,0.88
ulna_right,57.0,34.92,3.0,3.57,63.22,0.5,symmetry,0.836
vertebra,11.0,14.29,6.0,8.73,-23.0,0.5,measured,0.88
