element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
caudal_vertebra,220.0,225.61,180.0,184.59,-2.49,10784.3,measured,0.88
cervical_vertebra,680.0,697.33,200.0,205.1,-2.49,10784.3,measured,0.88
coracoid,400.0,410.2,250.0,256.37,-2.49,10784.3,measured,0.88
femur,1350.0,1384.41,155.0,158.95,-2.49,10784.3,measured,0.88
femur_right,1350.0,1384.41,155.0,158.95,-2.49,10784.3,symmetry,0.836
fibula,840.0,861.41,55.0,56.4,-2.49,10784.3,measured,0.88
fibula_right,840.0,861.41,55.0,56.4,-2.49,10784.3,symmetry,0.836
humerus,1080.0,1107.53,130.0,133.31,-2.49,10784.3,measured,0.88
humerus_right,1080.0,1107.53,130.0,133.31,-2.49,10784.3,symmetry,0.836
ilium,900.0,922.94,200.0,205.1,-2.49,10784.3,measured,0.88
ilium_right,900.0,922.94,200.0,205.1,-2.49,10784.3,symmetry,0.836
ischium,700.0,717.84,120.0,123.06,-2.49,10784.3,measured,0.88
metacarpal,280.0,287.14,65.0,66.66,-2.49,10784.3,measured,0.88
metatarsal,420.0,430.71,80.0,82.04,-2.49,10784.3,measured,0.88
phalanx,100.0,102.55,55.0,56.4,-2.49,10784.3,measured,0.88
pubis,650.0,666.57,90.0,92.29,-2.49,10784.3,measured,0.88
radius,700.0,717.84,85.0,87.17,-2.49,10784.3,measured,0.88
radius_right,700.0,717.84,85.0,87.17,-2.49,10784.3,symmetry,0.836
rib,1800.0,1845.88,50.0,51.27,-2.49,10784.3,measured,0.88
scapula,1200.0,1230.59,350.0,358.92,-2.49,10784.3,measured,0.88
scapula_right,1200.0,1230.59,350.0,358.92,-2.49,10784.3,symmetry,0.836
skull,600.0,615.29,350.0,358.92,-2.49,10784.3,measured,0.88
tibia,870.0,892.17,120.0,123.06,-2.49,10784.3,measured,0.88
tibia_right,870.0,892.17,120.0,123.06,-2.49,10784.3,symmetry,0.836
ulna,760.0,779.37,90.0,92.29,-2.49,10784.3,measured,0.88
ulna_right,760.0,779.37,90.0,92.29,-2.49,10784.3,symmetry,0.836
vertebra,450.0,461.47,300.0,307.65,-2.49,10784.3,measured,0.88
