element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,235.34,243.29,168.7,162.19,-3.27,2469.1,constraint,0.4
femur,1020.0,1284.01,118.0,162.19,-20.56,2469.1,measured,0.88
femur_right,1020.0,1284.01,118.0,162.19,-20.56,2469.1,symmetry,0.836
fibula,805.0,1108.31,40.0,47.31,-27.37,2469.1,measured,0.88
fibula_right,805.0,1108.31,40.0,47.31,-27.37,2469.1,symmetry,0.836
humerus,275.0,743.38,52.0,101.37,-63.01,2469.1,measured,0.88
humerus_right,275.0,743.38,52.0,101.37,-63.01,2469.1,symmetry,0.836
ilium,655.0,878.54,125.0,162.19,-25.44,2469.1,measured,0.88
ilium_right,655.0,878.54,125.0,162.19,-25.44,2469.1,symmetry,0.836
ischium,510.0,648.77,85.0,108.13,-21.39,2469.1,measured,0.88
metacarpal,121.16,175.71,34.59,40.55,-31.04,2469.1,constraint,0.65
metatarsal,390.0,513.61,55.0,67.58,-24.07,2469.1,measured,0.88
phalanx,104.6,108.13,35.15,33.79,-3.27,2469.1,constraint,0.4
pubis,570.0,702.83,68.0,81.1,-18.9,2469.1,measured,0.88
radius,185.0,567.67,30.0,56.77,-67.41,2469.1,measured,0.88
radius_right,185.0,567.67,30.0,56.77,-67.41,2469.1,symmetry,0.836
rib,610.0,810.96,30.0,40.55,-24.78,2469.1,measured,0.88
scapula,510.0,702.83,198.0,270.32,-27.44,2469.1,measured,0.88
scapula_right,510.0,702.83,198.0,270.32,-27.44,2469.1,symmetry,0.836
skull,595.0,1621.91,460.0,675.8,-63.31,2469.1,measured,0.88
tibia,835.0,1135.34,96.0,114.89,-26.45,2469.1,measured,0.88
tibia_right,835.0,1135.34,96.0,114.89,-26.45,2469.1,symmetry,0.836
ulna,198.0,594.7,32.0,60.82,-66.71,2469.1,measured,0.88
ulna_right,198.0,594.7,32.0,60.82,-66.71,2469.1,symmetry,0.836
vertebra,155.0,243.29,118.0,148.68,-36.29,2469.1,measured,0.88
