element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,28.91,23.05,11.75,15.37,25.42,2.1,constraint,0.4
femur,88.0,121.66,8.0,15.37,-27.66,2.1,measured,0.88
femur_right,88.0,121.66,8.0,15.37,-27.66,2.1,symmetry,0.836
fibula,98.0,105.01,2.0,4.48,-6.67,2.1,measured,0.88
fibula_right,98.0,105.01,2.0,4.48,-6.67,2.1,symmetry,0.836
humerus,52.0,70.43,5.0,9.6,-26.17,2.1,measured,0.88
humerus_right,52.0,70.43,5.0,9.6,-26.17,2.1,symmetry,0.836
ilium,68.0,83.24,12.0,15.37,-18.31,2.1,measured,0.88
ilium_right,68.0,83.24,12.0,15.37,-18.31,2.1,symmetry,0.836
ischium,52.0,61.47,7.0,10.24,-15.4,2.1,measured,0.88
metacarpal,17.32,16.65,2.63,3.84,4.05,2.1,constraint,0.65
metatarsal,78.0,48.66,6.0,6.4,60.29,2.1,measured,0.88
phalanx,12.85,10.24,2.45,3.2,25.42,2.1,constraint,0.4
pubis,58.0,66.59,6.0,7.68,-12.9,2.1,measured,0.88
radius,45.0,53.78,3.0,5.38,-16.33,2.1,measured,0.88
radius_right,45.0,53.78,3.0,5.38,-16.33,2.1,symmetry,0.836
rib,58.0,76.83,3.0,3.84,-24.51,2.1,measured,0.88
scapula,58.0,66.59,18.0,25.61,-12.9,2.1,measured,0.88
scapula_right,58.0,66.59,18.0,25.61,-12.9,2.1,symmetry,0.836
skull,92.0,153.67,45.0,64.03,-40.13,2.1,measured,0.88
tibia,102.0,107.57,6.0,10.88,-5.18,2.1,measured,0.88
tibia_right,102.0,107.57,6.0,10.88,-5.18,2.1,symmetry,0.836
ulna,48.0,56.35,3.0,5.76,-14.81,2.1,measured,0.88
ulna_right,48.0,56.35,3.0,5.76,-14.81,2.1,symmetry,0.836
vertebra,15.0,23.05,10.0,14.09,-34.93,2.1,measured,0.88
