element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,238.46,243.71,175.06,170.6,-2.15,3618.8,constraint,0.4
femur,1020.0,1279.48,128.0,158.41,-20.28,3618.8,measured,0.88
femur_right,1020.0,1279.48,128.0,158.41,-20.28,3618.8,symmetry,0.836
fibula,872.0,1072.33,40.0,48.74,-18.68,3618.8,measured,0.88
fibula_right,872.0,1072.33,40.0,48.74,-18.68,3618.8,symmetry,0.836
humerus,610.0,731.13,88.0,103.58,-16.57,3618.8,measured,0.88
humerus_right,610.0,731.13,88.0,103.58,-16.57,3618.8,symmetry,0.836
ilium,792.0,852.99,152.0,170.6,-7.15,3618.8,measured,0.88
ilium_right,792.0,852.99,152.0,170.6,-7.15,3618.8,symmetry,0.836
ischium,552.0,633.65,90.0,109.67,-12.89,3618.8,measured,0.88
metacarpal,169.1,182.78,42.35,42.65,-7.49,3618.8,constraint,0.65
metatarsal,425.0,487.42,60.0,67.02,-12.81,3618.8,measured,0.88
phalanx,107.31,109.67,35.01,34.12,-2.15,3618.8,constraint,0.4
pubis,468.0,584.91,72.0,85.3,-19.99,3618.8,measured,0.88
radius,490.0,560.53,55.0,60.93,-12.58,3618.8,measured,0.88
radius_right,490.0,560.53,55.0,60.93,-12.58,3618.8,symmetry,0.836
rib,740.0,852.99,36.0,42.65,-13.25,3618.8,measured,0.88
scapula,648.0,682.39,238.0,268.08,-5.04,3618.8,measured,0.88
scapula_right,648.0,682.39,238.0,268.08,-5.04,3618.8,symmetry,0.836
skull,880.0,1096.7,395.0,487.42,-19.76,3618.8,measured,0.88
tibia,900.0,1096.7,98.0,109.67,-17.94,3618.8,measured,0.88
tibia_right,900.0,1096.7,98.0,109.67,-17.94,3618.8,symmetry,0.836
ulna,510.0,584.91,58.0,63.36,-12.81,3618.8,measured,0.88
ulna_right,510.0,584.91,58.0,63.36,-12.81,3618.8,symmetry,0.836
vertebra,205.0,243.71,132.0,158.41,-15.88,3618.8,measured,0.88
