element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,311.91,333.89,241.3,222.59,-6.58,6382.3,constraint,0.4
femur,1020.0,1762.18,122.0,222.59,-42.12,6382.3,measured,0.88
femur_right,1020.0,1762.18,122.0,222.59,-42.12,6382.3,symmetry,0.836
fibula,848.0,1521.04,35.0,64.92,-44.25,6382.3,measured,0.88
fibula_right,848.0,1521.04,35.0,64.92,-44.25,6382.3,symmetry,0.836
humerus,2440.0,1020.21,118.0,139.12,139.17,6382.3,measured,0.88
humerus_right,2440.0,1020.21,118.0,139.12,139.17,6382.3,symmetry,0.836
ilium,698.0,1205.7,145.0,222.59,-42.11,6382.3,measured,0.88
ilium_right,698.0,1205.7,145.0,222.59,-42.11,6382.3,symmetry,0.836
ischium,572.0,890.36,92.0,148.39,-35.76,6382.3,measured,0.88
metacarpal,388.0,241.14,65.0,55.65,60.9,6382.3,measured,0.88
metatarsal,519.44,704.87,87.51,92.75,-26.31,6382.3,constraint,0.65
phalanx,185.0,148.39,42.0,46.37,24.67,6382.3,measured,0.88
pubis,612.0,964.56,78.0,111.3,-36.55,6382.3,measured,0.88
radius,1820.0,779.07,68.0,77.91,133.61,6382.3,measured,0.88
radius_right,1820.0,779.07,68.0,77.91,133.61,6382.3,symmetry,0.836
rib,725.0,1112.95,38.0,55.65,-34.86,6382.3,measured,0.88
scapula,572.0,964.56,218.0,370.98,-40.7,6382.3,measured,0.88
scapula_right,572.0,964.56,218.0,370.98,-40.7,6382.3,symmetry,0.836
skull,1030.0,2225.91,488.0,927.46,-53.73,6382.3,measured,0.88
tibia,878.0,1558.13,92.0,157.67,-43.65,6382.3,measured,0.88
tibia_right,878.0,1558.13,92.0,157.67,-43.65,6382.3,symmetry,0.836
ulna,1880.0,816.17,72.0,83.47,130.35,6382.3,measured,0.88
ulna_right,1880.0,816.17,72.0,83.47,130.35,6382.3,symmetry,0.836
vertebra,215.0,333.89,145.0,204.04,-35.61,6382.3,measured,0.88
