element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
caudal_vertebra,210.0,211.03,170.0,172.66,-0.49,8826.1,measured,0.88
cervical_vertebra,620.0,652.28,185.0,191.85,-4.95,8826.1,measured,0.88
coracoid,380.0,383.69,240.0,239.81,-0.96,8826.1,measured,0.88
femur,1200.0,1294.96,145.0,148.68,-7.33,8826.1,measured,0.88
femur_right,1200.0,1294.96,145.0,148.68,-7.33,8826.1,symmetry,0.836
fibula,740.0,805.75,52.0,52.76,-8.16,8826.1,measured,0.88
fibula_right,740.0,805.75,52.0,52.76,-8.16,8826.1,symmetry,0.836
humerus,990.0,1035.97,120.0,124.7,-4.44,8826.1,measured,0.88
humerus_right,990.0,1035.97,120.0,124.7,-4.44,8826.1,symmetry,0.836
ilium,880.0,863.31,190.0,191.85,1.93,8826.1,measured,0.88
ilium_right,880.0,863.31,190.0,191.85,1.93,8826.1,symmetry,0.836
ischium,680.0,671.46,115.0,115.11,1.27,8826.1,measured,0.88
metacarpal,260.0,268.58,60.0,62.35,-3.2,8826.1,measured,0.88
metatarsal,400.0,402.88,75.0,76.74,-0.71,8826.1,measured,0.88
phalanx,96.36,95.92,52.47,52.76,0.46,8826.1,constraint,0.4
pubis,620.0,623.5,88.0,86.33,-0.56,8826.1,measured,0.88
radius,640.0,671.46,80.0,81.53,-4.69,8826.1,measured,0.88
radius_right,640.0,671.46,80.0,81.53,-4.69,8826.1,symmetry,0.836
rib,1700.0,1726.61,48.0,47.96,-1.54,8826.1,measured,0.88
scapula,1150.0,1151.08,330.0,335.73,-0.09,8826.1,measured,0.88
scapula_right,1150.0,1151.08,330.0,335.73,-0.09,8826.1,symmetry,0.836
skull,580.0,575.54,330.0,335.73,0.78,8826.1,measured,0.88
tibia,770.0,834.53,115.0,115.11,-7.73,8826.1,measured,0.88
tibia_right,770.0,834.53,115.0,115.11,-7.73,8826.1,symmetry,0.836
ulna,700.0,729.02,85.0,86.33,-3.98,8826.1,measured,0.88
ulna_right,700.0,729.02,85.0,86.33,-3.98,8826.1,symmetry,0.836
vertebra,380.0,431.65,280.0,287.77,-11.97,8826.1,measured,0.88
