element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,273.96,284.85,208.82,199.39,-3.82,5778.0,constraint,0.4
femur,690.0,1495.45,138.0,185.15,-53.86,5778.0,measured,0.88
femur_right,690.0,1495.45,138.0,185.15,-53.86,5778.0,symmetry,0.836
fibula,555.0,1253.33,50.0,56.97,-55.72,5778.0,measured,0.88
fibula_right,555.0,1253.33,50.0,56.97,-55.72,5778.0,symmetry,0.836
humerus,590.0,854.54,118.0,121.06,-30.96,5778.0,measured,0.88
humerus_right,590.0,854.54,118.0,121.06,-30.96,5778.0,symmetry,0.836
ilium,850.0,996.97,172.0,199.39,-14.74,5778.0,measured,0.88
ilium_right,850.0,996.97,172.0,199.39,-14.74,5778.0,symmetry,0.836
ischium,610.0,740.6,112.0,128.18,-17.63,5778.0,measured,0.88
metacarpal,182.87,213.64,48.76,49.85,-14.4,5778.0,constraint,0.65
metatarsal,285.0,569.7,68.0,78.33,-49.97,5778.0,measured,0.88
phalanx,123.28,128.18,41.76,39.88,-3.82,5778.0,constraint,0.4
pubis,415.0,683.63,85.0,99.7,-39.3,5778.0,measured,0.88
radius,465.0,655.15,82.0,71.21,-29.02,5778.0,measured,0.88
radius_right,465.0,655.15,82.0,71.21,-29.02,5778.0,symmetry,0.836
rib,960.0,996.97,58.0,49.85,-3.71,5778.0,measured,0.88
scapula,548.0,797.57,228.0,313.33,-31.29,5778.0,measured,0.88
scapula_right,548.0,797.57,228.0,313.33,-31.29,5778.0,symmetry,0.836
skull,640.0,1281.81,488.0,569.7,-50.07,5778.0,measured,0.88
tibia,580.0,1281.81,118.0,128.18,-54.75,5778.0,measured,0.88
tibia_right,580.0,1281.81,118.0,128.18,-54.75,5778.0,symmetry,0.836
ulna,480.0,683.63,84.0,74.06,-29.79,5778.0,measured,0.88
ulna_right,480.0,683.63,84.0,74.06,-29.79,5778.0,symmetry,0.836
vertebra,180.0,284.85,138.0,185.15,-36.81,5778.0,measured,0.88
