element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,332.98,359.34,262.2,239.56,-7.34,7956.3,constraint,0.4
femur,1430.0,1896.53,178.0,239.56,-24.6,7956.3,measured,0.88
femur_right,1430.0,1896.53,178.0,239.56,-24.6,7956.3,symmetry,0.836
fibula,1162.0,1637.01,50.0,69.87,-29.02,7956.3,measured,0.88
fibula_right,1162.0,1637.01,50.0,69.87,-29.02,7956.3,symmetry,0.836
humerus,425.0,1097.99,82.0,149.73,-61.29,7956.3,measured,0.88
humerus_right,425.0,1097.99,82.0,149.73,-61.29,7956.3,symmetry,0.836
ilium,812.0,1297.63,158.0,239.56,-37.42,7956.3,measured,0.88
ilium_right,812.0,1297.63,158.0,239.56,-37.42,7956.3,symmetry,0.836
ischium,592.0,958.25,98.0,159.71,-38.22,7956.3,measured,0.88
metacarpal,176.83,259.53,54.75,59.89,-31.86,7956.3,constraint,0.65
metatarsal,468.0,758.61,68.0,99.82,-38.31,7956.3,measured,0.88
phalanx,147.99,159.71,54.63,49.91,-7.34,7956.3,constraint,0.4
pubis,638.0,1038.1,80.0,119.78,-38.54,7956.3,measured,0.88
radius,322.0,838.47,48.0,83.85,-61.6,7956.3,measured,0.88
radius_right,322.0,838.47,48.0,83.85,-61.6,7956.3,symmetry,0.836
rib,775.0,1197.81,40.0,59.89,-35.3,7956.3,measured,0.88
scapula,618.0,1038.1,228.0,399.27,-40.47,7956.3,measured,0.88
scapula_right,618.0,1038.1,228.0,399.27,-40.47,7956.3,symmetry,0.836
skull,1600.0,2395.62,640.0,998.18,-33.21,7956.3,measured,0.88
tibia,1195.0,1676.94,135.0,169.69,-28.74,7956.3,measured,0.88
tibia_right,1195.0,1676.94,135.0,169.69,-28.74,7956.3,symmetry,0.836
ulna,345.0,878.39,52.0,89.84,-60.72,7956.3,measured,0.88
ulna_right,345.0,878.39,52.0,89.84,-60.72,7956.3,symmetry,0.836
vertebra,220.0,359.34,158.0,219.6,-38.78,7956.3,measured,0.88
