element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
caudal_vertebra,250.0,373.11,195.0,305.27,-33.0,48781.1,measured,0.88
cervical_vertebra,850.0,1153.26,230.0,339.19,-26.3,48781.1,measured,0.88
coracoid,490.0,678.39,310.0,423.99,-27.77,48781.1,measured,0.88
femur,1964.0,2289.55,265.0,262.87,-14.22,48781.1,measured,0.88
femur_right,1964.0,2289.55,265.0,262.87,-14.22,48781.1,symmetry,0.836
fibula,1110.0,1424.61,65.0,93.28,-22.08,48781.1,measured,0.88
fibula_right,1110.0,1424.61,65.0,93.28,-22.08,48781.1,symmetry,0.836
humerus,2135.0,1831.64,228.0,220.48,16.56,48781.1,measured,0.88
humerus_right,2135.0,1831.64,228.0,220.48,16.56,48781.1,symmetry,0.836
ilium,1150.0,1526.37,240.0,339.19,-24.66,48781.1,measured,0.88
ilium_right,1150.0,1526.37,240.0,339.19,-24.66,48781.1,symmetry,0.836
ischium,870.0,1187.18,140.0,203.52,-26.72,48781.1,measured,0.88
metacarpal,340.0,474.87,74.0,110.24,-28.4,48781.1,measured,0.88
metatarsal,530.0,712.31,92.0,135.68,-25.59,48781.1,measured,0.88
phalanx,160.01,169.6,99.94,93.28,-5.66,48781.1,constraint,0.4
pubis,810.0,1102.38,100.0,152.64,-26.52,48781.1,measured,0.88
radius,1460.0,1187.18,110.0,144.16,22.98,48781.1,measured,0.88
radius_right,1460.0,1187.18,110.0,144.16,22.98,48781.1,symmetry,0.836
rib,2200.0,3052.74,55.0,84.8,-27.93,48781.1,measured,0.88
scapula,2040.0,2035.16,390.0,593.59,0.24,48781.1,measured,0.88
scapula_right,2040.0,2035.16,390.0,593.59,0.24,48781.1,symmetry,0.836
skull,860.0,1017.58,480.0,593.59,-15.49,48781.1,measured,0.88
tibia,1167.0,1475.49,155.0,203.52,-20.91,48781.1,measured,0.88
tibia_right,1167.0,1475.49,155.0,203.52,-20.91,48781.1,symmetry,0.836
ulna,1540.0,1288.93,120.0,152.64,19.48,48781.1,measured,0.88
ulna_right,1540.0,1288.93,120.0,152.64,19.48,48781.1,symmetry,0.836
vertebra,500.0,763.18,320.0,508.79,-34.49,48781.1,measured,0.88
