element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,235.75,240.6,172.54,168.42,-2.02,3482.1,constraint,0.4
femur,1010.0,1263.16,125.0,156.39,-20.04,3482.1,measured,0.88
femur_right,1010.0,1263.16,125.0,156.39,-20.04,3482.1,symmetry,0.836
fibula,860.0,1058.65,40.0,48.12,-18.76,3482.1,measured,0.88
fibula_right,860.0,1058.65,40.0,48.12,-18.76,3482.1,symmetry,0.836
humerus,620.0,721.81,88.0,102.26,-14.1,3482.1,measured,0.88
humerus_right,620.0,721.81,88.0,102.26,-14.1,3482.1,symmetry,0.836
ilium,780.0,842.11,148.0,168.42,-7.38,3482.1,measured,0.88
ilium_right,780.0,842.11,148.0,168.42,-7.38,3482.1,symmetry,0.836
ischium,540.0,625.57,88.0,108.27,-13.68,3482.1,measured,0.88
metacarpal,168.81,180.45,41.98,42.11,-6.45,3482.1,constraint,0.65
metatarsal,415.0,481.21,58.0,66.17,-13.76,3482.1,measured,0.88
phalanx,106.09,108.27,34.51,33.68,-2.02,3482.1,constraint,0.4
pubis,455.0,577.45,72.0,84.21,-21.2,3482.1,measured,0.88
radius,498.0,553.39,55.0,60.15,-10.01,3482.1,measured,0.88
radius_right,498.0,553.39,55.0,60.15,-10.01,3482.1,symmetry,0.836
rib,720.0,842.11,35.0,42.11,-14.5,3482.1,measured,0.88
scapula,640.0,673.69,235.0,264.66,-5.0,3482.1,measured,0.88
scapula_right,640.0,673.69,235.0,264.66,-5.0,3482.1,symmetry,0.836
skull,850.0,1082.71,380.0,481.21,-21.49,3482.1,measured,0.88
tibia,890.0,1082.71,95.0,108.27,-17.8,3482.1,measured,0.88
tibia_right,890.0,1082.71,95.0,108.27,-17.8,3482.1,symmetry,0.836
ulna,520.0,577.45,58.0,62.56,-9.95,3482.1,measured,0.88
ulna_right,520.0,577.45,58.0,62.56,-9.95,3482.1,symmetry,0.836
vertebra,195.0,240.6,128.0,156.39,-18.95,3482.1,measured,0.88
