element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,131.03,125.98,80.16,83.98,4.01,342.8,constraint,0.4
femur,660.0,664.87,48.0,83.98,-0.73,342.8,measured,0.88
femur_right,660.0,664.87,48.0,83.98,-0.73,342.8,symmetry,0.836
fibula,710.0,573.89,14.0,24.5,23.72,342.8,measured,0.88
fibula_right,710.0,573.89,14.0,24.5,23.72,342.8,symmetry,0.836
humerus,468.0,384.93,35.0,52.49,21.58,342.8,measured,0.88
humerus_right,468.0,384.93,35.0,52.49,21.58,342.8,symmetry,0.836
ilium,535.0,454.91,72.0,83.98,17.61,342.8,measured,0.88
ilium_right,535.0,454.91,72.0,83.98,17.61,342.8,symmetry,0.836
ischium,390.0,335.93,42.0,55.99,16.09,342.8,measured,0.88
metacarpal,99.92,90.98,20.69,21.0,9.82,342.8,constraint,0.65
metatarsal,505.0,265.95,32.0,34.99,89.89,342.8,measured,0.88
phalanx,58.23,55.99,16.7,17.5,4.01,342.8,constraint,0.4
pubis,440.0,363.93,38.0,41.99,20.9,342.8,measured,0.88
radius,388.0,293.94,20.0,29.39,32.0,342.8,measured,0.88
radius_right,388.0,293.94,20.0,29.39,32.0,342.8,symmetry,0.836
rib,380.0,419.92,12.0,21.0,-9.51,342.8,measured,0.88
scapula,420.0,363.93,118.0,139.97,15.41,342.8,measured,0.88
scapula_right,420.0,363.93,118.0,139.97,15.41,342.8,symmetry,0.836
skull,295.0,839.84,125.0,349.93,-64.87,342.8,measured,0.88
tibia,733.0,587.89,38.0,59.49,24.68,342.8,measured,0.88
tibia_right,733.0,587.89,38.0,59.49,24.68,342.8,symmetry,0.836
ulna,400.0,307.94,22.0,31.49,29.9,342.8,measured,0.88
ulna_right,400.0,307.94,22.0,31.49,29.9,342.8,symmetry,0.836
vertebra,85.0,125.98,52.0,76.99,-32.53,342.8,measured,0.88
