element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,100.53,93.53,57.24,62.35,7.48,140.3,constraint,0.4
femur,355.0,493.64,38.0,62.35,-28.09,140.3,measured,0.88
femur_right,355.0,493.64,38.0,62.35,-28.09,140.3,symmetry,0.836
fibula,355.0,426.09,10.0,18.19,-16.68,140.3,measured,0.88
fibula_right,355.0,426.09,10.0,18.19,-16.68,140.3,symmetry,0.836
humerus,218.0,285.79,22.0,38.97,-23.72,140.3,measured,0.88
humerus_right,218.0,285.79,22.0,38.97,-23.72,140.3,symmetry,0.836
ilium,288.0,337.75,52.0,62.35,-14.73,140.3,measured,0.88
ilium_right,288.0,337.75,52.0,62.35,-14.73,140.3,symmetry,0.836
ischium,198.0,249.42,28.0,41.57,-20.62,140.3,measured,0.88
metacarpal,64.32,67.55,13.33,15.59,-4.78,140.3,constraint,0.65
metatarsal,235.0,197.46,22.0,25.98,19.01,140.3,measured,0.88
phalanx,44.68,41.57,11.93,12.99,7.48,140.3,constraint,0.4
pubis,215.0,270.2,22.0,31.18,-20.43,140.3,measured,0.88
radius,185.0,218.24,12.0,21.82,-15.23,140.3,measured,0.88
radius_right,185.0,218.24,12.0,21.82,-15.23,140.3,symmetry,0.836
rib,192.0,311.77,8.0,15.59,-38.42,140.3,measured,0.88
scapula,240.0,270.2,72.0,103.92,-11.18,140.3,measured,0.88
scapula_right,240.0,270.2,72.0,103.92,-11.18,140.3,symmetry,0.836
skull,280.0,623.54,190.0,259.81,-55.1,140.3,measured,0.88
tibia,368.0,436.48,30.0,44.17,-15.69,140.3,measured,0.88
tibia_right,368.0,436.48,30.0,44.17,-15.69,140.3,symmetry,0.836
ulna,195.0,228.63,13.0,23.38,-14.71,140.3,measured,0.88
ulna_right,195.0,228.63,13.0,23.38,-14.71,140.3,symmetry,0.836
vertebra,58.0,93.53,38.0,57.16,-37.99,140.3,measured,0.88
