element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,150.54,145.34,97.58,101.74,3.58,767.5,constraint,0.4
femur,580.0,763.02,75.0,94.47,-23.99,767.5,measured,0.88
femur_right,580.0,763.02,75.0,94.47,-23.99,767.5,symmetry,0.836
fibula,508.0,639.49,22.0,29.07,-20.56,767.5,measured,0.88
fibula_right,508.0,639.49,22.0,29.07,-20.56,767.5,symmetry,0.836
humerus,340.0,436.01,48.0,61.77,-22.02,767.5,measured,0.88
humerus_right,340.0,436.01,48.0,61.77,-22.02,767.5,symmetry,0.836
ilium,465.0,508.68,88.0,101.74,-8.59,767.5,measured,0.88
ilium_right,465.0,508.68,88.0,101.74,-8.59,767.5,symmetry,0.836
ischium,352.0,377.88,62.0,65.4,-6.85,767.5,measured,0.88
metacarpal,102.18,109.0,23.01,25.43,-6.26,767.5,constraint,0.65
metatarsal,305.0,290.68,40.0,39.97,4.93,767.5,measured,0.88
phalanx,67.74,65.4,19.52,20.35,3.58,767.5,constraint,0.4
pubis,310.0,348.81,50.0,50.87,-11.13,767.5,measured,0.88
radius,272.0,334.28,30.0,36.33,-18.63,767.5,measured,0.88
radius_right,272.0,334.28,30.0,36.33,-18.63,767.5,symmetry,0.836
rib,440.0,508.68,20.0,25.43,-13.5,767.5,measured,0.88
scapula,368.0,406.95,148.0,159.87,-9.57,767.5,measured,0.88
scapula_right,368.0,406.95,148.0,159.87,-9.57,767.5,symmetry,0.836
skull,590.0,654.02,420.0,290.68,-9.79,767.5,measured,0.88
tibia,525.0,654.02,62.0,65.4,-19.73,767.5,measured,0.88
tibia_right,525.0,654.02,62.0,65.4,-19.73,767.5,symmetry,0.836
ulna,288.0,348.81,32.0,37.79,-17.43,767.5,measured,0.88
ulna_right,288.0,348.81,32.0,37.79,-17.43,767.5,symmetry,0.836
vertebra,100.0,145.34,78.0,94.47,-31.19,767.5,measured,0.88
