element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,200.0,242.68,140.0,169.87,-17.59,3572.9,measured,0.88
femur,1050.0,1274.05,130.0,157.74,-17.59,3572.9,measured,0.88
femur_right,1050.0,1274.05,130.0,157.74,-17.59,3572.9,symmetry,0.836
fibula,880.0,1067.77,40.0,48.54,-17.59,3572.9,measured,0.88
fibula_right,880.0,1067.77,40.0,48.54,-17.59,3572.9,symmetry,0.836
humerus,600.0,728.03,85.0,103.14,-17.59,3572.9,measured,0.88
humerus_right,600.0,728.03,85.0,103.14,-17.59,3572.9,symmetry,0.836
ilium,700.0,849.37,140.0,169.87,-17.59,3572.9,measured,0.88
ilium_right,700.0,849.37,140.0,169.87,-17.59,3572.9,symmetry,0.836
ischium,520.0,630.96,90.0,109.2,-17.59,3572.9,measured,0.88
metacarpal,150.0,182.01,35.0,42.47,-17.59,3572.9,measured,0.88
metatarsal,400.0,485.35,55.0,66.74,-17.59,3572.9,measured,0.88
phalanx,90.0,109.2,28.0,33.97,-17.59,3572.9,measured,0.88
pubis,480.0,582.42,70.0,84.94,-17.59,3572.9,measured,0.88
radius,460.0,558.15,50.0,60.67,-17.59,3572.9,measured,0.88
radius_right,460.0,558.15,50.0,60.67,-17.59,3572.9,symmetry,0.836
rib,700.0,849.37,35.0,42.47,-17.59,3572.9,measured,0.88
scapula,560.0,679.49,220.0,266.94,-17.59,3572.9,measured,0.88
scapula_right,560.0,679.49,220.0,266.94,-17.59,3572.9,symmetry,0.836
skull,900.0,1092.04,400.0,485.35,-17.59,3572.9,measured,0.88
tibia,900.0,1092.04,90.0,109.2,-17.59,3572.9,measured,0.88
tibia_right,900.0,1092.04,90.0,109.2,-17.59,3572.9,symmetry,0.836
ulna,480.0,582.42,52.0,63.1,-17.59,3572.9,measured,0.88
ulna_right,480.0,582.42,52.0,63.1,-17.59,3572.9,symmetry,0.836
vertebra,200.0,242.68,130.0,157.74,-17.59,3572.9,measured,0.88
