element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,260.0,188.27,75.0,57.15,38.1,30.4,measured,0.88
femur,220.0,208.44,14.0,18.83,5.54,30.4,measured,0.88
femur_right,220.0,208.44,14.0,18.83,5.54,30.4,symmetry,0.836
fibula,208.0,255.51,4.0,5.38,-18.59,30.4,measured,0.88
fibula_right,208.0,255.51,4.0,5.38,-18.59,30.4,symmetry,0.836
humerus,390.0,389.99,28.0,40.34,0.0,30.4,measured,0.88
humerus_right,390.0,389.99,28.0,40.34,0.0,30.4,symmetry,0.836
ilium,158.0,255.51,32.0,50.43,-38.16,30.4,measured,0.88
ilium_right,158.0,255.51,32.0,50.43,-38.16,30.4,symmetry,0.836
ischium,112.0,147.93,20.0,26.9,-24.29,30.4,measured,0.88
metacarpal,365.0,349.65,25.0,30.26,4.39,30.4,measured,0.88
phalanx,850.0,806.87,16.0,20.17,5.34,30.4,measured,0.88
pubis,95.0,127.76,16.0,20.17,-25.64,30.4,measured,0.88
radius,430.0,416.88,18.0,23.53,3.15,30.4,measured,0.88
radius_right,430.0,416.88,18.0,23.53,3.15,30.4,symmetry,0.836
rib,155.0,188.27,7.0,8.07,-17.67,30.4,measured,0.88
scapula,290.0,275.68,72.0,73.96,5.19,30.4,measured,0.88
scapula_right,290.0,275.68,72.0,73.96,5.19,30.4,symmetry,0.836
skull,1420.0,1210.31,155.0,147.93,17.33,30.4,measured,0.88
tibia,218.0,282.41,10.0,14.79,-22.81,30.4,measured,0.88
tibia_right,218.0,282.41,10.0,14.79,-22.81,30.4,symmetry,0.836
ulna,440.0,423.61,20.0,25.55,3.87,30.4,measured,0.88
ulna_right,440.0,423.61,20.0,25.55,3.87,30.4,symmetry,0.836
vertebra,38.0,53.79,22.0,36.98,-29.36,30.4,measured,0.88
