element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,275.0,363.5,82.0,110.35,-24.35,218.8,measured,0.88
femur,310.0,402.45,28.0,36.35,-22.97,218.8,measured,0.88
femur_right,310.0,402.45,28.0,36.35,-22.97,218.8,symmetry,0.836
fibula,380.0,493.32,8.0,10.39,-22.97,218.8,measured,0.88
fibula_right,380.0,493.32,8.0,10.39,-22.97,218.8,symmetry,0.836
humerus,544.0,752.97,58.0,77.89,-27.75,218.8,measured,0.88
humerus_right,544.0,752.97,58.0,77.89,-27.75,218.8,symmetry,0.836
ilium,375.0,493.32,72.0,97.37,-23.99,218.8,measured,0.88
ilium_right,375.0,493.32,72.0,97.37,-23.99,218.8,symmetry,0.836
ischium,218.0,285.61,38.0,51.93,-23.67,218.8,measured,0.88
metacarpal,510.0,675.08,43.0,58.42,-24.45,218.8,measured,0.88
phalanx,1180.0,1557.87,28.0,38.95,-24.26,218.8,measured,0.88
pubis,185.0,246.66,28.0,38.95,-25.0,218.8,measured,0.88
radius,580.0,804.9,33.0,45.44,-27.94,218.8,measured,0.88
radius_right,580.0,804.9,33.0,45.44,-27.94,218.8,symmetry,0.836
rib,285.0,363.5,11.0,15.58,-21.6,218.8,measured,0.88
scapula,405.0,532.27,108.0,142.8,-23.91,218.8,measured,0.88
scapula_right,405.0,532.27,108.0,142.8,-23.91,218.8,symmetry,0.836
skull,1900.0,2336.8,210.0,285.61,-18.69,218.8,measured,0.88
tibia,420.0,545.25,22.0,28.56,-22.97,218.8,measured,0.88
tibia_right,420.0,545.25,22.0,28.56,-22.97,218.8,symmetry,0.836
ulna,592.0,817.88,36.0,49.33,-27.62,218.8,measured,0.88
ulna_right,592.0,817.88,36.0,49.33,-27.62,218.8,symmetry,0.836
vertebra,82.0,103.86,52.0,71.4,-21.05,218.8,measured,0.88
