element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,280.0,371.25,85.0,112.7,-24.58,233.1,measured,0.88
femur,310.0,411.03,28.0,37.13,-24.58,233.1,measured,0.88
femur_right,310.0,411.03,28.0,37.13,-24.58,233.1,symmetry,0.836
fibula,380.0,503.85,8.0,10.61,-24.58,233.1,measured,0.88
fibula_right,380.0,503.85,8.0,10.61,-24.58,233.1,symmetry,0.836
humerus,580.0,769.03,60.0,79.55,-24.58,233.1,measured,0.88
humerus_right,580.0,769.03,60.0,79.55,-24.58,233.1,symmetry,0.836
ilium,380.0,503.85,75.0,99.44,-24.58,233.1,measured,0.88
ilium_right,380.0,503.85,75.0,99.44,-24.58,233.1,symmetry,0.836
ischium,220.0,291.7,40.0,53.04,-24.58,233.1,measured,0.88
metacarpal,520.0,689.47,45.0,59.67,-24.58,233.1,measured,0.88
phalanx,1200.0,1591.09,30.0,39.78,-24.58,233.1,measured,0.88
pubis,190.0,251.92,30.0,39.78,-24.58,233.1,measured,0.88
radius,620.0,822.06,35.0,46.41,-24.58,233.1,measured,0.88
radius_right,620.0,822.06,35.0,46.41,-24.58,233.1,symmetry,0.836
rib,280.0,371.25,12.0,15.91,-24.58,233.1,measured,0.88
scapula,410.0,543.62,110.0,145.85,-24.58,233.1,measured,0.88
scapula_right,410.0,543.62,110.0,145.85,-24.58,233.1,symmetry,0.836
skull,1800.0,2386.64,220.0,291.7,-24.58,233.1,measured,0.88
tibia,420.0,556.88,22.0,29.17,-24.58,233.1,measured,0.88
tibia_right,420.0,556.88,22.0,29.17,-24.58,233.1,symmetry,0.836
ulna,630.0,835.32,38.0,50.38,-24.58,233.1,measured,0.88
ulna_right,630.0,835.32,38.0,50.38,-24.58,233.1,symmetry,0.836
vertebra,80.0,106.07,55.0,72.93,-24.58,233.1,measured,0.88
