element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,248.83,259.01,181.08,172.67,-3.93,2979.3,constraint,0.4
femur,830.0,1366.98,110.0,172.67,-39.28,2979.3,measured,0.88
femur_right,830.0,1366.98,110.0,172.67,-39.28,2979.3,symmetry,0.836
fibula,678.0,1179.92,38.0,50.36,-42.54,2979.3,measured,0.88
fibula_right,678.0,1179.92,38.0,50.36,-42.54,2979.3,symmetry,0.836
humerus,510.0,791.41,72.0,107.92,-35.56,2979.3,measured,0.88
humerus_right,510.0,791.41,72.0,107.92,-35.56,2979.3,symmetry,0.836
ilium,615.0,935.3,118.0,172.67,-34.25,2979.3,measured,0.88
ilium_right,615.0,935.3,118.0,172.67,-34.25,2979.3,symmetry,0.836
ischium,460.0,690.68,80.0,115.11,-33.4,2979.3,measured,0.88
metacarpal,156.09,187.06,41.68,43.17,-16.56,2979.3,constraint,0.65
metatarsal,365.0,546.79,52.0,71.95,-33.25,2979.3,measured,0.88
phalanx,110.59,115.11,37.72,35.97,-3.93,2979.3,constraint,0.4
pubis,540.0,748.24,68.0,86.34,-27.83,2979.3,measured,0.88
radius,390.0,604.35,42.0,60.43,-35.47,2979.3,measured,0.88
radius_right,390.0,604.35,42.0,60.43,-35.47,2979.3,symmetry,0.836
rib,680.0,863.35,33.0,43.17,-21.24,2979.3,measured,0.88
scapula,530.0,748.24,210.0,287.78,-29.17,2979.3,measured,0.88
scapula_right,530.0,748.24,210.0,287.78,-29.17,2979.3,symmetry,0.836
skull,1750.0,1726.71,650.0,719.46,1.35,2979.3,measured,0.88
tibia,700.0,1208.7,88.0,122.31,-42.09,2979.3,measured,0.88
tibia_right,700.0,1208.7,88.0,122.31,-42.09,2979.3,symmetry,0.836
ulna,410.0,633.13,45.0,64.75,-35.24,2979.3,measured,0.88
ulna_right,410.0,633.13,45.0,64.75,-35.24,2979.3,symmetry,0.836
vertebra,185.0,259.01,135.0,158.28,-28.57,2979.3,measured,0.88
