element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,240.26,245.78,176.74,172.05,-2.25,3711.9,constraint,0.4
femur,1010.0,1290.36,128.0,159.76,-21.73,3711.9,measured,0.88
femur_right,1010.0,1290.36,128.0,159.76,-21.73,3711.9,symmetry,0.836
fibula,755.0,1081.45,40.0,49.16,-30.19,3711.9,measured,0.88
fibula_right,755.0,1081.45,40.0,49.16,-30.19,3711.9,symmetry,0.836
humerus,640.0,737.35,90.0,104.46,-13.2,3711.9,measured,0.88
humerus_right,640.0,737.35,90.0,104.46,-13.2,3711.9,symmetry,0.836
ilium,800.0,860.24,155.0,172.05,-7.0,3711.9,measured,0.88
ilium_right,800.0,860.24,155.0,172.05,-7.0,3711.9,symmetry,0.836
ischium,595.0,639.04,96.0,110.6,-6.89,3711.9,measured,0.88
metacarpal,172.82,184.34,43.12,43.01,-6.25,3711.9,constraint,0.65
metatarsal,395.0,491.57,52.0,67.59,-19.64,3711.9,measured,0.88
phalanx,108.12,110.6,35.35,34.41,-2.25,3711.9,constraint,0.4
pubis,365.0,589.88,66.0,86.02,-38.12,3711.9,measured,0.88
radius,510.0,565.3,56.0,61.45,-9.78,3711.9,measured,0.88
radius_right,510.0,565.3,56.0,61.45,-9.78,3711.9,symmetry,0.836
rib,820.0,860.24,38.0,43.01,-4.68,3711.9,measured,0.88
scapula,645.0,688.19,235.0,270.36,-6.28,3711.9,measured,0.88
scapula_right,645.0,688.19,235.0,270.36,-6.28,3711.9,symmetry,0.836
skull,415.0,1106.02,308.0,491.57,-62.48,3711.9,measured,0.88
tibia,785.0,1106.02,98.0,110.6,-29.03,3711.9,measured,0.88
tibia_right,785.0,1106.02,98.0,110.6,-29.03,3711.9,symmetry,0.836
ulna,530.0,589.88,58.0,63.9,-10.15,3711.9,measured,0.88
ulna_right,530.0,589.88,58.0,63.9,-10.15,3711.9,symmetry,0.836
vertebra,195.0,245.78,128.0,159.76,-20.66,3711.9,measured,0.88
