element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,226.67,230.21,164.14,161.15,-1.54,3050.2,constraint,0.4
femur,910.0,1208.62,118.0,149.64,-24.71,3050.2,measured,0.88
femur_right,910.0,1208.62,118.0,149.64,-24.71,3050.2,symmetry,0.836
fibula,752.0,1012.94,38.0,46.04,-25.76,3050.2,measured,0.88
fibula_right,752.0,1012.94,38.0,46.04,-25.76,3050.2,symmetry,0.836
humerus,580.0,690.64,85.0,97.84,-16.02,3050.2,measured,0.88
humerus_right,580.0,690.64,85.0,97.84,-16.02,3050.2,symmetry,0.836
ilium,748.0,805.74,148.0,161.15,-7.17,3050.2,measured,0.88
ilium_right,748.0,805.74,148.0,161.15,-7.17,3050.2,symmetry,0.836
ischium,528.0,598.55,86.0,103.6,-11.79,3050.2,measured,0.88
metacarpal,160.76,172.66,39.71,40.29,-6.89,3050.2,constraint,0.65
metatarsal,380.0,460.43,52.0,63.31,-17.47,3050.2,measured,0.88
phalanx,102.0,103.6,32.83,32.23,-1.54,3050.2,constraint,0.4
pubis,428.0,552.51,70.0,80.57,-22.54,3050.2,measured,0.88
radius,462.0,529.49,54.0,57.55,-12.75,3050.2,measured,0.88
radius_right,462.0,529.49,54.0,57.55,-12.75,3050.2,symmetry,0.836
rib,680.0,805.74,34.0,40.29,-15.61,3050.2,measured,0.88
scapula,598.0,644.6,228.0,253.23,-7.23,3050.2,measured,0.88
scapula_right,598.0,644.6,228.0,253.23,-7.23,3050.2,symmetry,0.836
skull,1750.0,1035.96,720.0,460.43,68.93,3050.2,measured,0.88
tibia,780.0,1035.96,92.0,103.6,-24.71,3050.2,measured,0.88
tibia_right,780.0,1035.96,92.0,103.6,-24.71,3050.2,symmetry,0.836
ulna,480.0,552.51,56.0,59.86,-13.12,3050.2,measured,0.88
ulna_right,480.0,552.51,56.0,59.86,-13.12,3050.2,symmetry,0.836
vertebra,188.0,230.21,125.0,149.64,-18.34,3050.2,measured,0.88
