element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,287.27,304.39,217.34,202.93,-5.63,4836.0,constraint,0.4
femur,1120.0,1606.52,125.0,202.93,-30.28,4836.0,measured,0.88
femur_right,1120.0,1606.52,125.0,202.93,-30.28,4836.0,symmetry,0.836
fibula,840.0,1386.68,38.0,59.19,-39.42,4836.0,measured,0.88
fibula_right,840.0,1386.68,38.0,59.19,-39.42,4836.0,symmetry,0.836
humerus,2440.0,930.09,92.0,126.83,162.34,4836.0,measured,0.88
humerus_right,2440.0,930.09,92.0,126.83,162.34,4836.0,symmetry,0.836
ilium,710.0,1099.2,148.0,202.93,-35.41,4836.0,measured,0.88
ilium_right,710.0,1099.2,148.0,202.93,-35.41,4836.0,symmetry,0.836
ischium,580.0,811.71,95.0,135.29,-28.55,4836.0,measured,0.88
metacarpal,395.0,219.84,55.0,50.73,79.68,4836.0,measured,0.88
metatarsal,490.87,642.61,80.02,84.55,-23.61,4836.0,constraint,0.65
phalanx,720.0,135.29,42.0,42.28,432.21,4836.0,measured,0.88
pubis,620.0,879.36,80.0,101.46,-29.49,4836.0,measured,0.88
radius,1820.0,710.25,72.0,71.03,156.25,4836.0,measured,0.88
radius_right,1820.0,710.25,72.0,71.03,156.25,4836.0,symmetry,0.836
rib,720.0,1014.64,38.0,50.73,-29.04,4836.0,measured,0.88
scapula,580.0,879.36,225.0,338.21,-34.04,4836.0,measured,0.88
scapula_right,580.0,879.36,225.0,338.21,-34.04,4836.0,symmetry,0.836
skull,420.0,2029.29,320.0,845.54,-79.3,4836.0,measured,0.88
tibia,870.0,1420.5,95.0,143.74,-38.75,4836.0,measured,0.88
tibia_right,870.0,1420.5,95.0,143.74,-38.75,4836.0,symmetry,0.836
ulna,1880.0,744.07,78.0,76.1,152.66,4836.0,measured,0.88
ulna_right,1880.0,744.07,78.0,76.1,152.66,4836.0,symmetry,0.836
vertebra,210.0,304.39,148.0,186.02,-31.01,4836.0,measured,0.88
