element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,303.34,319.4,237.67,223.58,-5.03,8145.7,constraint,0.4
femur,1400.0,1676.83,182.0,207.61,-16.51,8145.7,measured,0.88
femur_right,1400.0,1676.83,182.0,207.61,-16.51,8145.7,symmetry,0.836
fibula,1040.0,1405.34,52.0,63.88,-26.0,8145.7,measured,0.88
fibula_right,1040.0,1405.34,52.0,63.88,-26.0,8145.7,symmetry,0.836
humerus,770.0,958.19,108.0,135.74,-19.64,8145.7,measured,0.88
humerus_right,770.0,958.19,108.0,135.74,-19.64,8145.7,symmetry,0.836
ilium,868.0,1117.89,172.0,223.58,-22.35,8145.7,measured,0.88
ilium_right,868.0,1117.89,172.0,223.58,-22.35,8145.7,symmetry,0.836
ischium,665.0,830.43,112.0,143.73,-19.92,8145.7,measured,0.88
metacarpal,214.52,239.55,57.41,55.89,-10.45,8145.7,constraint,0.65
metatarsal,418.0,638.79,62.0,87.83,-34.56,8145.7,measured,0.88
phalanx,136.5,143.73,47.53,44.72,-5.03,8145.7,constraint,0.4
pubis,488.0,766.55,82.0,111.79,-36.34,8145.7,measured,0.88
radius,615.0,734.61,68.0,79.85,-16.28,8145.7,measured,0.88
radius_right,615.0,734.61,68.0,79.85,-16.28,8145.7,symmetry,0.836
rib,875.0,1117.89,44.0,55.89,-21.73,8145.7,measured,0.88
scapula,715.0,894.31,268.0,351.34,-20.05,8145.7,measured,0.88
scapula_right,715.0,894.31,268.0,351.34,-20.05,8145.7,symmetry,0.836
skull,2200.0,1437.28,820.0,638.79,53.07,8145.7,measured,0.88
tibia,1080.0,1437.28,128.0,143.73,-24.86,8145.7,measured,0.88
tibia_right,1080.0,1437.28,128.0,143.73,-24.86,8145.7,symmetry,0.836
ulna,640.0,766.55,72.0,83.04,-16.51,8145.7,measured,0.88
ulna_right,640.0,766.55,72.0,83.04,-16.51,8145.7,symmetry,0.836
vertebra,235.0,319.4,152.0,207.61,-26.42,8145.7,measured,0.88
