element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,180.0,275.94,120.0,183.96,-34.77,3602.7,measured,0.88
femur,950.0,1456.35,120.0,183.96,-34.77,3602.7,measured,0.88
femur_right,950.0,1456.35,120.0,183.96,-34.77,3602.7,symmetry,0.836
fibula,820.0,1257.06,35.0,53.66,-34.77,3602.7,measured,0.88
fibula_right,820.0,1257.06,35.0,53.66,-34.77,3602.7,symmetry,0.836
humerus,550.0,843.15,75.0,114.98,-34.77,3602.7,measured,0.88
humerus_right,550.0,843.15,75.0,114.98,-34.77,3602.7,symmetry,0.836
ilium,650.0,996.45,120.0,183.96,-34.77,3602.7,measured,0.88
ilium_right,650.0,996.45,120.0,183.96,-34.77,3602.7,symmetry,0.836
ischium,480.0,735.84,80.0,122.64,-34.77,3602.7,measured,0.88
metacarpal,130.0,199.29,30.0,45.99,-34.77,3602.7,measured,0.88
metatarsal,380.0,582.54,50.0,76.65,-34.77,3602.7,measured,0.88
phalanx,80.0,122.64,25.0,38.33,-34.77,3602.7,measured,0.88
pubis,520.0,797.16,60.0,91.98,-34.77,3602.7,measured,0.88
radius,420.0,643.86,42.0,64.39,-34.77,3602.7,measured,0.88
radius_right,420.0,643.86,42.0,64.39,-34.77,3602.7,symmetry,0.836
rib,600.0,919.8,30.0,45.99,-34.77,3602.7,measured,0.88
scapula,520.0,797.16,200.0,306.6,-34.77,3602.7,measured,0.88
scapula_right,520.0,797.16,200.0,306.6,-34.77,3602.7,symmetry,0.836
skull,1200.0,1839.6,500.0,766.5,-34.77,3602.7,measured,0.88
tibia,840.0,1287.72,85.0,130.31,-34.77,3602.7,measured,0.88
tibia_right,840.0,1287.72,85.0,130.31,-34.77,3602.7,symmetry,0.836
ulna,440.0,674.52,45.0,68.99,-34.77,3602.7,measured,0.88
ulna_right,440.0,674.52,45.0,68.99,-34.77,3602.7,symmetry,0.836
vertebra,180.0,275.94,110.0,168.63,-34.77,3602.7,measured,0.88
