element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,321.43,345.36,250.7,230.24,-6.93,7063.3,constraint,0.4
femur,1280.0,1822.75,172.0,230.24,-29.78,7063.3,measured,0.88
femur_right,1280.0,1822.75,172.0,230.24,-29.78,7063.3,symmetry,0.836
fibula,1060.0,1573.32,46.0,67.15,-32.63,7063.3,measured,0.88
fibula_right,1060.0,1573.32,46.0,67.15,-32.63,7063.3,symmetry,0.836
humerus,385.0,1055.27,77.0,143.9,-63.52,7063.3,measured,0.88
humerus_right,385.0,1055.27,77.0,143.9,-63.52,7063.3,symmetry,0.836
ilium,755.0,1247.14,148.0,230.24,-39.46,7063.3,measured,0.88
ilium_right,755.0,1247.14,148.0,230.24,-39.46,7063.3,symmetry,0.836
ischium,548.0,920.97,92.0,153.49,-40.5,7063.3,measured,0.88
metacarpal,88.0,249.43,25.0,57.56,-64.72,7063.3,measured,0.88
metatarsal,428.0,729.1,62.0,95.93,-41.3,7063.3,measured,0.88
phalanx,142.86,153.49,52.23,47.97,-6.93,7063.3,constraint,0.4
pubis,585.0,997.71,72.0,115.12,-41.37,7063.3,measured,0.88
radius,292.0,805.85,46.0,80.58,-63.76,7063.3,measured,0.88
radius_right,292.0,805.85,46.0,80.58,-63.76,7063.3,symmetry,0.836
rib,710.0,1151.21,36.0,57.56,-38.33,7063.3,measured,0.88
scapula,568.0,997.71,215.0,383.74,-43.07,7063.3,measured,0.88
scapula_right,568.0,997.71,215.0,383.74,-43.07,7063.3,symmetry,0.836
skull,1450.0,2302.42,590.0,959.34,-37.02,7063.3,measured,0.88
tibia,1098.0,1611.69,122.0,163.09,-31.87,7063.3,measured,0.88
tibia_right,1098.0,1611.69,122.0,163.09,-31.87,7063.3,symmetry,0.836
ulna,315.0,844.22,49.0,86.34,-62.69,7063.3,measured,0.88
ulna_right,315.0,844.22,49.0,86.34,-62.69,7063.3,symmetry,0.836
vertebra,205.0,345.36,142.0,211.05,-40.64,7063.3,measured,0.88
