element,length_mm,length_predicted_mm,diameter_mm,diameter_predicted_mm,length_residual_pct,body_mass_kg,infer_method,confidence
coracoid,69.23,61.51,35.64,41.01,12.56,39.9,constraint,0.4
femur,295.0,324.62,22.0,41.01,-9.13,39.9,measured,0.88
femur_right,295.0,324.62,22.0,41.01,-9.13,39.9,symmetry,0.836
fibula,318.0,280.2,7.0,11.96,13.49,39.9,measured,0.88
fibula_right,318.0,280.2,7.0,11.96,13.49,39.9,symmetry,0.836
humerus,175.0,187.94,16.0,25.63,-6.89,39.9,measured,0.88
humerus_right,175.0,187.94,16.0,25.63,-6.89,39.9,symmetry,0.836
ilium,228.0,222.11,42.0,41.01,2.65,39.9,measured,0.88
ilium_right,228.0,222.11,42.0,41.01,2.65,39.9,symmetry,0.836
ischium,175.0,164.02,20.0,27.34,6.69,39.9,measured,0.88
metacarpal,46.75,44.42,8.57,10.25,5.24,39.9,constraint,0.65
metatarsal,198.0,129.85,16.0,17.09,52.48,39.9,measured,0.88
phalanx,52.0,27.34,10.0,8.54,90.22,39.9,measured,0.88
pubis,185.0,177.69,18.0,20.5,4.11,39.9,measured,0.88
radius,145.0,143.52,9.0,14.35,1.03,39.9,measured,0.88
radius_right,145.0,143.52,9.0,14.35,1.03,39.9,symmetry,0.836
rib,155.0,205.03,7.0,10.25,-24.4,39.9,measured,0.88
scapula,195.0,177.69,55.0,68.34,9.74,39.9,measured,0.88
scapula_right,195.0,177.69,55.0,68.34,9.74,39.9,symmetry,0.836
skull,285.0,410.05,110.0,170.85,-30.5,39.9,measured,0.88
tibia,328.0,287.04,18.0,29.05,14.27,39.9,measured,0.88
tibia_right,328.0,287.04,18.0,29.05,14.27,39.9,symmetry,0.836
ulna,155.0,150.35,10.0,15.38,3.09,39.9,measured,0.88
ulna_right,155.0,150.35,10.0,15.38,3.09,39.9,symmetry,0.836
vertebra,45.0,61.51,28.0,37.59,-26.84,39.9,measured,0.88
